Date,Open,High,Low,Close,Adj Close,Volume
2020-09-11,63.450001,64.529999,62.630001,64.309998,61.404369,1435601
2020-09-14,64.790001,64.919998,63.709999,64.120003,61.222958,1017966
2020-09-15,64.400002,65.000000,63.830002,64.320000,61.413918,1084823
2020-09-16,64.410004,64.849998,63.930000,64.709999,61.786297,1175318
2020-09-17,63.419998,64.959999,63.369999,64.809998,61.881775,1064841
2020-09-18,64.779999,64.830002,63.740002,63.740002,60.860123,3248812
2020-09-21,63.189999,63.400002,60.029999,60.490002,57.756966,2508068
2020-09-22,60.560001,61.459999,60.270000,60.580002,57.842896,1335710
2020-09-23,61.299999,62.529999,60.599998,60.959999,58.205727,1432762
2020-09-24,60.000000,61.330002,59.830002,60.639999,57.900185,1589221
2020-09-25,60.549999,60.619999,58.779999,59.060001,56.391575,1428136
2020-09-28,59.970001,61.730000,59.830002,61.730000,58.940937,1666530
2020-09-29,61.209999,62.070000,60.730000,62.000000,59.198738,1409149
2020-09-30,61.500000,62.700001,61.200001,61.990002,59.189190,1485337
2020-10-01,63.110001,63.110001,61.990002,62.660000,59.828918,1376243
2020-10-02,62.200001,62.639999,61.730000,62.360001,59.542477,891578
2020-10-05,63.250000,64.379997,63.060001,64.029999,61.137016,1224129
2020-10-06,63.990002,65.589996,63.810001,64.849998,61.919971,1654516
2020-10-07,65.000000,65.760002,64.230003,65.739998,62.769756,1467108
2020-10-08,65.900002,66.410004,65.279999,65.720001,62.750664,1309221
2020-10-09,65.769997,66.260002,64.300003,64.699997,61.776745,1254025
2020-10-12,64.730003,65.449997,64.410004,65.089996,62.149124,1019626
2020-10-13,64.690002,64.940002,63.689999,64.250000,61.347080,1122504
2020-10-14,64.370003,64.550003,63.900002,64.080002,61.184761,964688
2020-10-15,62.689999,62.689999,60.990002,62.169998,59.361057,1977291
2020-10-16,63.290001,63.570000,62.349998,63.119999,60.268135,1515264
2020-10-19,63.200001,63.919998,62.799999,63.619999,60.745541,1035903
2020-10-20,63.500000,64.279999,62.410000,64.070000,61.175213,1491163
2020-10-21,64.709999,64.970001,63.560001,63.810001,60.926960,1553620
2020-10-22,63.470001,64.300003,62.060001,64.010002,61.117924,1218032
2020-10-23,64.000000,64.660004,63.630001,63.930000,61.041538,974170
2020-10-26,62.860001,64.120003,62.779999,63.209999,60.354069,1118941
2020-10-27,63.230000,63.290001,61.340000,61.470001,58.692688,1839591
2020-10-28,59.730000,59.959999,57.250000,58.060001,55.436756,3729376
2020-10-29,57.860001,58.959999,57.580002,58.330002,55.694557,1788596
2020-10-30,57.400002,58.869999,57.369999,58.680000,56.028740,1564460
2020-11-02,59.000000,60.160000,58.130001,59.680000,56.983559,1548483
2020-11-03,60.400002,62.119999,60.400002,62.119999,59.313316,1655547
2020-11-04,60.220001,63.279999,59.919998,62.520000,59.695244,1934346
2020-11-05,63.250000,64.790001,62.880001,64.790001,61.862682,2058301
2020-11-06,64.540001,64.820000,63.130001,63.580002,60.707355,1771124
2020-11-09,64.720001,69.059998,64.550003,67.629997,64.574364,4097264
2020-11-10,67.760002,69.540001,67.379997,69.500000,66.359879,3193087
2020-11-11,69.500000,70.879997,68.639999,70.339996,67.161919,2169822
2020-11-12,69.410004,70.870003,69.099998,70.699997,67.505653,1975554
2020-11-13,70.379997,71.110001,70.160004,70.739998,67.543846,1693385
2020-11-16,71.250000,73.660004,71.150002,72.790001,69.501228,2219047
2020-11-17,72.639999,73.080002,72.019997,72.849998,69.558510,1234159
2020-11-18,72.339996,74.000000,72.099998,73.870003,70.532433,1311194
2020-11-19,73.209999,74.099998,73.040001,74.000000,70.656555,1721623
2020-11-20,74.000000,74.480003,73.389999,74.150002,70.799782,1692504
2020-11-23,73.900002,74.519997,73.599998,73.889999,70.551529,1518466
2020-11-24,74.849998,76.680000,74.599998,76.680000,73.215469,1844609
2020-11-25,77.000000,77.309998,74.639999,75.400002,71.993309,1489748
2020-11-26,75.300003,75.320000,73.669998,74.129997,70.780685,1215517
2020-11-27,73.769997,73.809998,72.599998,73.089996,69.787666,1699488
2020-11-30,72.510002,73.760002,72.250000,73.040001,69.739929,1921018
2020-12-01,73.739998,74.889999,73.500000,74.779999,71.401314,1367290
2020-12-02,74.400002,74.400002,73.290001,74.330002,70.971649,1004048
2020-12-03,74.440002,74.580002,73.290001,74.290001,70.933456,1219270
2020-12-04,74.000000,75.000000,74.000000,74.949997,71.563637,1130945
2020-12-07,74.500000,74.510002,73.309998,73.699997,70.370110,1128524
2020-12-08,73.000000,73.699997,72.790001,73.010002,69.711296,1217153
2020-12-09,72.730003,74.150002,72.610001,73.129997,69.825867,1340551
2020-12-10,73.000000,73.419998,71.019997,71.360001,68.135841,1903460
2020-12-11,71.019997,71.400002,69.949997,70.510002,67.324242,2093004
2020-12-14,71.000000,72.720001,70.750000,71.910004,68.660995,1663325
2020-12-15,71.949997,73.860001,71.820000,73.860001,70.522881,1962219
2020-12-16,74.269997,76.129997,74.129997,74.430000,71.067131,1974499
2020-12-17,75.150002,75.419998,73.779999,73.779999,70.446503,1581472
2020-12-18,73.790001,75.059998,73.559998,74.190002,70.837975,3039475
2020-12-21,72.339996,72.419998,69.730003,71.970001,68.718277,1896920
2020-12-22,72.500000,72.910004,71.940002,72.099998,68.842400,739335
2020-12-23,72.510002,73.660004,72.010002,73.379997,70.064568,981237
2020-12-28,75.050003,75.470001,73.349998,73.489998,70.169601,799942
2020-12-29,74.139999,74.300003,72.680000,73.160004,69.854515,786472
2020-12-30,73.000000,73.230003,72.230003,72.230003,68.966537,644923
2021-01-04,73.029999,73.519997,71.230003,71.860001,68.613251,1250834
2021-01-05,71.000000,72.050003,70.349998,70.860001,67.658432,1542690
2021-01-06,71.419998,72.489998,70.489998,70.989998,67.782555,1679300
2021-01-07,71.129997,71.699997,70.010002,71.019997,67.811195,2156329
2021-01-08,71.959999,72.000000,69.639999,70.489998,67.305145,2128156
2021-01-11,69.900002,70.379997,68.559998,69.300003,66.168915,1613495
2021-01-12,69.129997,70.239998,68.510002,69.839996,66.684517,1554361
2021-01-13,69.690002,69.860001,68.849998,69.120003,65.997047,1403891
2021-01-14,69.089996,70.559998,69.029999,69.779999,66.627220,1322126
2021-01-15,69.089996,70.379997,68.519997,69.410004,66.273949,1945807
2021-01-18,68.610001,69.620003,68.400002,69.489998,66.350327,964708
2021-01-19,69.849998,70.000000,68.209999,68.339996,65.252289,1472535
2021-01-20,69.000000,70.790001,68.820000,70.790001,67.591591,1533660
2021-01-21,71.059998,71.809998,70.400002,71.279999,68.059448,1273815
2021-01-22,70.430000,72.120003,69.570000,71.250000,68.030815,1716661
2021-01-25,71.800003,72.440002,69.559998,70.209999,67.037796,1582566
2021-01-26,70.160004,73.209999,69.779999,72.080002,68.823311,2034716
2021-01-27,71.940002,72.029999,70.500000,71.309998,68.088097,2044649
2021-01-28,69.279999,71.080002,68.360001,70.910004,67.706177,2072544
2021-01-29,69.400002,70.870003,69.050003,70.010002,66.846832,1924221
2021-02-01,70.809998,70.949997,69.550003,69.879997,66.722702,1139613
2021-02-02,70.500000,72.080002,70.489998,71.410004,68.183586,1510601
2021-02-03,72.290001,73.050003,71.570000,71.730003,68.489120,2092011
2021-02-04,71.849998,72.540001,69.760002,70.769997,67.572495,2440661
2021-02-05,70.919998,70.919998,69.750000,70.050003,66.885033,1999900
2021-02-08,70.370003,70.980003,69.809998,69.809998,66.655869,1380555
2021-02-09,69.800003,70.089996,69.300003,70.089996,66.923218,1210955
2021-02-10,70.160004,71.139999,69.410004,70.000000,66.837288,1257565
