Date,Open,High,Low,Close,Adj Close,Volume
2020-09-11,55.000000,55.360001,54.450001,54.599998,53.633560,27400
2020-09-14,54.490002,54.810001,54.320000,54.599998,53.633560,19400
2020-09-15,55.150002,55.150002,54.189999,54.200001,53.240643,23000
2020-09-16,54.320000,54.810001,54.150002,54.209999,53.250465,14900
2020-09-17,54.250000,55.000000,53.939999,55.000000,54.026482,35700
2020-09-18,54.180000,54.389999,53.619999,53.900002,52.945953,20500
2020-09-21,51.529999,51.790001,50.619999,51.560001,50.647373,40000
2020-09-22,51.779999,51.970001,51.090000,51.650002,50.735779,23900
2020-09-23,52.490002,52.799999,51.099998,51.099998,50.195511,62100
2020-09-24,51.660000,52.340000,51.490002,51.790001,50.873302,23200
2020-09-25,51.000000,51.990002,50.959999,51.990002,51.069763,38800
2020-09-28,53.439999,53.619999,53.259998,53.299999,52.356571,25200
2020-09-29,53.259998,53.720001,53.130001,53.259998,52.317280,8400
2020-09-30,53.630001,54.810001,53.540001,53.660000,52.710201,21700
2020-10-01,54.900002,55.180000,54.650002,54.840000,53.869316,14600
2020-10-02,53.799999,55.200001,53.669998,54.820000,53.849667,15900
2020-10-05,56.400002,56.580002,56.169998,56.380001,55.382057,38500
2020-10-06,56.750000,56.910000,55.750000,55.869999,54.881081,47500
2020-10-07,56.630001,58.029999,56.630001,57.750000,56.727806,57700
2020-10-08,57.160000,57.830002,57.160000,57.490002,56.472412,22100
2020-10-09,57.250000,57.250000,56.720001,56.860001,55.853561,15500
2020-10-12,57.919998,58.090000,57.700001,58.040001,57.012676,23100
2020-10-13,57.130001,57.419998,56.990002,57.330002,56.315243,7700
2020-10-14,56.900002,56.939999,56.189999,56.529999,55.529400,20200
2020-10-15,53.790001,55.099998,53.790001,55.099998,54.124710,32200
2020-10-16,57.770000,58.099998,57.570000,57.730000,56.708160,28900
2020-10-19,57.400002,57.610001,56.400002,56.599998,55.598160,33700
2020-10-20,57.340000,57.849998,57.340000,57.799999,56.776920,12400
2020-10-21,57.290001,57.400002,56.810001,57.060001,56.050022,9900
2020-10-22,56.910000,56.910000,56.490002,56.709999,55.706215,6300
2020-10-23,57.540001,57.650002,56.790001,57.490002,56.472412,26900
2020-10-26,56.680000,57.000000,56.139999,56.770000,55.765152,28300
2020-10-27,56.110001,56.150002,55.009998,55.150002,54.173828,6700
2020-10-28,52.230000,52.540001,51.320000,51.320000,50.411621,33900
2020-10-29,52.169998,52.549999,51.490002,51.830002,50.912594,18900
2020-10-30,51.970001,52.080002,51.349998,51.630001,50.716133,8900
2020-11-02,53.180000,53.650002,52.790001,53.090000,52.150291,15100
2020-11-03,54.669998,55.919998,54.669998,55.740002,54.753387,18300
2020-11-04,56.259998,56.570000,55.750000,55.820000,54.831966,16400
2020-11-05,57.529999,58.549999,57.529999,57.790001,56.767101,26400
2020-11-06,57.320000,57.540001,57.060001,57.099998,56.089310,20000
2020-11-09,61.200001,61.200001,59.250000,59.250000,58.201256,67400
2020-11-10,62.009998,62.950001,62.000000,62.549999,61.442844,61700
2020-11-11,62.360001,62.810001,61.980000,62.400002,61.295502,19900
2020-11-12,61.240002,61.750000,60.759998,60.759998,59.684528,35800
2020-11-13,61.490002,62.459999,61.490002,62.230000,61.128510,18600
2020-11-16,63.349998,63.820000,62.910000,63.730000,62.601959,59100
2020-11-17,64.010002,64.760002,63.849998,64.550003,63.407448,25200
2020-11-18,65.849998,66.379997,65.440002,65.699997,64.537086,66500
2020-11-19,65.389999,66.000000,65.019997,65.599998,64.438858,27000
2020-11-20,65.830002,65.860001,65.510002,65.750000,64.586205,9500
2020-11-23,66.730003,67.250000,66.199997,66.389999,65.214874,41100
2020-11-24,67.910004,68.959999,67.800003,68.910004,67.690277,53000
2020-11-25,67.540001,68.470001,67.519997,68.389999,67.179474,49200
2020-11-27,67.180000,67.769997,67.180000,67.500000,66.305229,6100
2020-11-30,68.519997,68.699997,67.320000,67.400002,66.207001,25400
2020-12-01,68.440002,69.459999,68.440002,69.459999,68.230537,16800
2020-12-02,68.620003,69.639999,68.620003,69.529999,68.299294,84900
2020-12-03,69.330002,69.330002,68.559998,68.559998,67.346466,13700
2020-12-04,70.320000,70.699997,69.900002,70.300003,69.055672,54300
2020-12-07,69.510002,70.139999,69.510002,69.680000,68.446640,33200
2020-12-08,69.459999,70.010002,69.459999,69.650002,68.417175,14900
2020-12-09,69.639999,70.230003,68.930000,69.300003,68.073372,32200
2020-12-10,67.919998,68.650002,67.919998,68.250000,67.041954,9900
2020-12-11,67.570000,67.580002,66.489998,66.750000,65.568504,46500
2020-12-14,69.059998,69.059998,68.300003,68.440002,67.228592,20100
2020-12-15,70.190002,70.739998,69.830002,70.699997,69.448586,38700
2020-12-16,71.879997,72.209999,71.190002,71.830002,70.558586,48100
2020-12-17,71.970001,72.250000,71.739998,71.830002,70.558586,17900
2020-12-18,71.669998,72.080002,71.290001,71.989998,70.715752,15200
2020-12-21,68.169998,70.019997,68.169998,70.019997,68.780624,15800
2020-12-22,69.379997,69.379997,68.589996,68.639999,67.425049,18300
2020-12-23,70.900002,71.510002,70.790001,71.349998,70.087082,26200
2020-12-24,70.870003,72.000000,70.269997,71.349998,70.087082,7700
2020-12-28,71.449997,72.199997,71.190002,71.370003,70.106728,25300
2020-12-29,71.269997,71.639999,70.669998,70.879997,69.625397,29300
2020-12-30,70.500000,71.559998,70.489998,70.540001,69.291420,20700
2020-12-31,70.449997,71.379997,69.500000,70.300003,69.055672,31700
2021-01-04,70.680000,71.070000,68.820000,69.580002,68.348412,25900
2021-01-05,68.980003,70.349998,68.980003,70.150002,68.908325,17500
2021-01-06,68.730003,69.680000,68.570000,69.290001,68.063545,38700
2021-01-07,71.080002,71.559998,70.559998,70.849998,69.595932,30500
2021-01-08,70.629997,70.830002,70.000000,70.220001,68.977081,13500
2021-01-11,68.290001,69.699997,68.290001,69.430000,68.201065,21600
2021-01-12,69.120003,70.849998,69.120003,70.820000,69.566460,48900
2021-01-13,69.440002,69.709999,69.250000,69.559998,68.328766,19000
2021-01-14,70.540001,70.580002,70.080002,70.209999,68.967262,19000
2021-01-15,68.720001,68.750000,67.690002,67.769997,66.570450,15100
2021-01-19,68.000000,68.050003,67.300003,67.629997,66.432922,24500
2021-01-20,69.720001,70.300003,69.610001,70.230003,68.986908,21700
2021-01-21,71.820000,71.989998,71.379997,71.919998,70.646988,63600
2021-01-22,72.290001,72.559998,71.699997,71.940002,70.666641,86200
2021-01-25,69.989998,70.230003,69.250000,70.050003,68.810097,30900
2021-01-26,71.820000,72.080002,71.389999,71.650002,70.381775,13700
2021-01-27,68.470001,69.500000,68.150002,68.720001,67.503639,29300
2021-01-28,69.279999,72.930000,68.790001,71.699997,70.430885,54900
